Created by PLY version 3.4 (http://www.dabeaz.com/ply)

Grammar

Rule 0     S' -> Pgm
    (47) Assign -> . Lhs EQUALS AE
    (48) Assign -> . Lhs Inc
    (49) Assign -> . Lhs Dec
    (50) Assign -> . Inc Lhs
    (51) Assign -> . Dec Lhs
    (105) MethodCall -> . FieldAccess LPAREN ArgsQ RPAREN
    (66) Lhs -> . FieldAccess
    (67) Lhs -> . ArrayAccess
    (53) Inc -> . INC
    (52) Dec -> . DEC

    MINUS           shift and go to state 98
    NOT             shift and go to state 106
    LPAREN          shift and go to state 74
    NEW             shift and go to state 99
    NUMBER          shift and go to state 55
    TRUE            shift and go to state 89
    FALSE           shift and go to state 83
    THIS            shift and go to state 87
    SUPER           shift and go to state 91
    INPUT           shift and go to state 61
    IDENTIFIER      shift and go to state 69
    INC             shift and go to state 68
    DEC             shift and go to state 62

    false                          shift and go to state 71
    true                           shift and go to state 79
    Input                          shift and go to state 59
    MethodCall                     shift and go to state 63
    super                          shift and go to state 66
    NewArray                       shift and go to state 100
    AE                             shift and go to state 114
    Lhs                            shift and go to state 73
    intconst                       shift and go to state 75
    ArrayAccess                    shift and go to state 103
    Dec                            shift and go to state 78
    Assign                         shift and go to state 80
    this                           shift and go to state 84
    FieldAccess                    shift and go to state 104
    Primary                        shift and go to state 105
    NewObject                      shift and go to state 88
    SE                             shift and go to state 107
    Inc                            shift and go to state 90

state 58

    (43) Stmt -> Do_while .

    CLASS           reduce using rule 43 (Stmt -> Do_while .)
    INT             reduce using rule 43 (Stmt -> Do_while .)
    BOOL            reduce using rule 43 (Stmt -> Do_while .)
    VOID            reduce using rule 43 (Stmt -> Do_while .)
    animal          reduce using rule 43 (Stmt -> Do_while .)
    dog             reduce using rule 43 (Stmt -> Do_while .)
    $end            reduce using rule 43 (Stmt -> Do_while .)
    RCURLY          reduce using rule 43 (Stmt -> Do_while .)
    WHILE           reduce using rule 43 (Stmt -> Do_while .)
    PRINT           reduce using rule 43 (Stmt -> Do_while .)
    LCURLY          reduce using rule 43 (Stmt -> Do_while .)
    IF              reduce using rule 43 (Stmt -> Do_while .)
    FOR             reduce using rule 43 (Stmt -> Do_while .)
    DO              reduce using rule 43 (Stmt -> Do_while .)
    RETURN          reduce using rule 43 (Stmt -> Do_while .)
    INC             reduce using rule 43 (Stmt -> Do_while .)
    DEC             reduce using rule 43 (Stmt -> Do_while .)
    IDENTIFIER      reduce using rule 43 (Stmt -> Do_while .)
    LPAREN          reduce using rule 43 (Stmt -> Do_while .)
    NUMBER          reduce using rule 43 (Stmt -> Do_while .)
    TRUE            reduce using rule 43 (Stmt -> Do_while .)
    FALSE           reduce using rule 43 (Stmt -> Do_while .)
    THIS            reduce using rule 43 (Stmt -> Do_while .)
    SUPER           reduce using rule 43 (Stmt -> Do_while .)
    INPUT           reduce using rule 43 (Stmt -> Do_while .)
    NEW             reduce using rule 43 (Stmt -> Do_while .)
    ELSE            reduce using rule 43 (Stmt -> Do_while .)


state 59

    (91) Primary -> Input .

    DOT             reduce using rule 91 (Primary -> Input .)
    LSQR            reduce using rule 91 (Primary -> Input .)
    COMMA           reduce using rule 91 (Primary -> Input .)
    TIMES           reduce using rule 91 (Primary -> Input .)
    SLASH           reduce using rule 91 (Primary -> Input .)
    PLUS            reduce using rule 91 (Primary -> Input .)
    MINUS           reduce using rule 91 (Primary -> Input .)
    LT              reduce using rule 91 (Primary -> Input .)
    EQ              reduce using rule 91 (Primary -> Input .)
    GT              reduce using rule 91 (Primary -> Input .)
    GTEQ            reduce using rule 91 (Primary -> Input .)
    LTEQ            reduce using rule 91 (Primary -> Input .)
    NEQ             reduce using rule 91 (Primary -> Input .)
    LAND            reduce using rule 91 (Primary -> Input .)
    LOR             reduce using rule 91 (Primary -> Input .)
    MOD             reduce using rule 91 (Primary -> Input .)
    RPAREN          reduce using rule 91 (Primary -> Input .)
    SEMICOLON       reduce using rule 91 (Primary -> Input .)
    DO              reduce using rule 91 (Primary -> Input .)
    THEN            reduce using rule 91 (Primary -> Input .)
    RSQR            reduce using rule 91 (Primary -> Input .)


state 60

    (38) Stmt -> Print .

    CLASS           reduce using rule 38 (Stmt -> Print .)
    INT             reduce using rule 38 (Stmt -> Print .)
    BOOL            reduce using rule 38 (Stmt -> Print .)
    VOID            reduce using rule 38 (Stmt -> Print .)
    animal          reduce using rule 38 (Stmt -> Print .)
    dog             reduce using rule 38 (Stmt -> Print .)
    $end            reduce using rule 38 (Stmt -> Print .)
    RCURLY          reduce using rule 38 (Stmt -> Print .)
    WHILE           reduce using rule 38 (Stmt -> Print .)
    PRINT           reduce using rule 38 (Stmt -> Print .)
    LCURLY          reduce using rule 38 (Stmt -> Print .)
    IF              reduce using rule 38 (Stmt -> Print .)
    FOR             reduce using rule 38 (Stmt -> Print .)
    DO              reduce using rule 38 (Stmt -> Print .)
    RETURN          reduce using rule 38 (Stmt -> Print .)
    INC             reduce using rule 38 (Stmt -> Print .)
    DEC             reduce using rule 38 (Stmt -> Print .)
    IDENTIFIER      reduce using rule 38 (Stmt -> Print .)
    LPAREN          reduce using rule 38 (Stmt -> Print .)
    NUMBER          reduce using rule 38 (Stmt -> Print .)
    TRUE            reduce using rule 38 (Stmt -> Print .)
    FALSE           reduce using rule 38 (Stmt -> Print .)
    THIS            reduce using rule 38 (Stmt -> Print .)
    SUPER           reduce using rule 38 (Stmt -> Print .)
    INPUT           reduce using rule 38 (Stmt -> Print .)
    NEW             reduce using rule 38 (Stmt -> Print .)
    ELSE            reduce using rule 38 (Stmt -> Print .)


state 61

    (101) Input -> INPUT . LPAREN RPAREN

    LPAREN          shift and go to state 115


state 62

    (52) Dec -> DEC .

    IDENTIFIER      reduce using rule 52 (Dec -> DEC .)
    LPAREN          reduce using rule 52 (Dec -> DEC .)
    NUMBER          reduce using rule 52 (Dec -> DEC .)
    TRUE            reduce using rule 52 (Dec -> DEC .)
    FALSE           reduce using rule 52 (Dec -> DEC .)
    THIS            reduce using rule 52 (Dec -> DEC .)
    SUPER           reduce using rule 52 (Dec -> DEC .)
    INPUT           reduce using rule 52 (Dec -> DEC .)
    NEW             reduce using rule 52 (Dec -> DEC .)
    SEMICOLON       reduce using rule 52 (Dec -> DEC .)
    TIMES           reduce using rule 52 (Dec -> DEC .)
    SLASH           reduce using rule 52 (Dec -> DEC .)
    PLUS            reduce using rule 52 (Dec -> DEC .)
    MINUS           reduce using rule 52 (Dec -> DEC .)
    LT              reduce using rule 52 (Dec -> DEC .)
    EQ              reduce using rule 52 (Dec -> DEC .)
    GT              reduce using rule 52 (Dec -> DEC .)
    GTEQ            reduce using rule 52 (Dec -> DEC .)
    LTEQ            reduce using rule 52 (Dec -> DEC .)
    NEQ             reduce using rule 52 (Dec -> DEC .)
    LAND            reduce using rule 52 (Dec -> DEC .)
    LOR             reduce using rule 52 (Dec -> DEC .)
    MOD             reduce using rule 52 (Dec -> DEC .)
    DO              reduce using rule 52 (Dec -> DEC .)
    RPAREN          reduce using rule 52 (Dec -> DEC .)
    THEN            reduce using rule 52 (Dec -> DEC .)
    COMMA           reduce using rule 52 (Dec -> DEC .)
    RSQR            reduce using rule 52 (Dec -> DEC .)


state 63

    (46) SE -> MethodCall .

    TIMES           reduce using rule 46 (SE -> MethodCall .)
    SLASH           reduce using rule 46 (SE -> MethodCall .)
    PLUS            reduce using rule 46 (SE -> MethodCall .)
    MINUS           reduce using rule 46 (SE -> MethodCall .)
    LT              reduce using rule 46 (SE -> MethodCall .)
    EQ              reduce using rule 46 (SE -> MethodCall .)
    GT              reduce using rule 46 (SE -> MethodCall .)
    GTEQ            reduce using rule 46 (SE -> MethodCall .)
    LTEQ            reduce using rule 46 (SE -> MethodCall .)
    NEQ             reduce using rule 46 (SE -> MethodCall .)
    LAND            reduce using rule 46 (SE -> MethodCall .)
    LOR             reduce using rule 46 (SE -> MethodCall .)
    MOD             reduce using rule 46 (SE -> MethodCall .)
    SEMICOLON       reduce using rule 46 (SE -> MethodCall .)
    DO              reduce using rule 46 (SE -> MethodCall .)
    RPAREN          reduce using rule 46 (SE -> MethodCall .)
    THEN            reduce using rule 46 (SE -> MethodCall .)
    COMMA           reduce using rule 46 (SE -> MethodCall .)
    RSQR            reduce using rule 46 (SE -> MethodCall .)


state 64

    (110) NewObject -> NEW . animal LPAREN RPAREN
    (111) NewObject -> NEW . dog LPAREN RPAREN

    animal          shift and go to state 116
    dog             shift and go to state 117


state 65

    (42) Stmt -> for .

    CLASS           reduce using rule 42 (Stmt -> for .)
    INT             reduce using rule 42 (Stmt -> for .)
    BOOL            reduce using rule 42 (Stmt -> for .)
    VOID            reduce using rule 42 (Stmt -> for .)
    animal          reduce using rule 42 (Stmt -> for .)
    dog             reduce using rule 42 (Stmt -> for .)
    $end            reduce using rule 42 (Stmt -> for .)
    RCURLY          reduce using rule 42 (Stmt -> for .)
    WHILE           reduce using rule 42 (Stmt -> for .)
    PRINT           reduce using rule 42 (Stmt -> for .)
    LCURLY          reduce using rule 42 (Stmt -> for .)
    IF              reduce using rule 42 (Stmt -> for .)
    FOR             reduce using rule 42 (Stmt -> for .)
    DO              reduce using rule 42 (Stmt -> for .)
    RETURN          reduce using rule 42 (Stmt -> for .)
    INC             reduce using rule 42 (Stmt -> for .)
    DEC             reduce using rule 42 (Stmt -> for .)
    IDENTIFIER      reduce using rule 42 (Stmt -> for .)
    LPAREN          reduce using rule 42 (Stmt -> for .)
    NUMBER          reduce using rule 42 (Stmt -> for .)
    TRUE            reduce using rule 42 (Stmt -> for .)
    FALSE           reduce using rule 42 (Stmt -> for .)
    THIS            reduce using rule 42 (Stmt -> for .)
    SUPER           reduce using rule 42 (Stmt -> for .)
    INPUT           reduce using rule 42 (Stmt -> for .)
    NEW             reduce using rule 42 (Stmt -> for .)
    ELSE            reduce using rule 42 (Stmt -> for .)


state 66

    (90) Primary -> super .

    DOT             reduce using rule 90 (Primary -> super .)
    LSQR            reduce using rule 90 (Primary -> super .)
    COMMA           reduce using rule 90 (Primary -> super .)
    TIMES           reduce using rule 90 (Primary -> super .)
    SLASH           reduce using rule 90 (Primary -> super .)
    PLUS            reduce using rule 90 (Primary -> super .)
    MINUS           reduce using rule 90 (Primary -> super .)
    LT              reduce using rule 90 (Primary -> super .)
    EQ              reduce using rule 90 (Primary -> super .)
    GT              reduce using rule 90 (Primary -> super .)
    GTEQ            reduce using rule 90 (Primary -> super .)
    LTEQ            reduce using rule 90 (Primary -> super .)
    NEQ             reduce using rule 90 (Primary -> super .)
    LAND            reduce using rule 90 (Primary -> super .)
    LOR             reduce using rule 90 (Primary -> super .)
    MOD             reduce using rule 90 (Primary -> super .)
    RPAREN          reduce using rule 90 (Primary -> super .)
    SEMICOLON       reduce using rule 90 (Primary -> super .)
    DO              reduce using rule 90 (Primary -> super .)
    THEN            reduce using rule 90 (Primary -> super .)
    RSQR            reduce using rule 90 (Primary -> super .)


state 67

    (9) FunDecl -> Type Var LPAREN FormalsQ RPAREN Stmt .

    CLASS           reduce using rule 9 (FunDecl -> Type Var LPAREN FormalsQ RPAREN Stmt .)
    INT             reduce using rule 9 (FunDecl -> Type Var LPAREN FormalsQ RPAREN Stmt .)
    BOOL            reduce using rule 9 (FunDecl -> Type Var LPAREN FormalsQ RPAREN Stmt .)
    VOID            reduce using rule 9 (FunDecl -> Type Var LPAREN FormalsQ RPAREN Stmt .)
    animal          reduce using rule 9 (FunDecl -> Type Var LPAREN FormalsQ RPAREN Stmt .)
    dog             reduce using rule 9 (FunDecl -> Type Var LPAREN FormalsQ RPAREN Stmt .)
    $end            reduce using rule 9 (FunDecl -> Type Var LPAREN FormalsQ RPAREN Stmt .)
    RCURLY          reduce using rule 9 (FunDecl -> Type Var LPAREN FormalsQ RPAREN Stmt .)


state 68

    (53) Inc -> INC .

    IDENTIFIER      reduce using rule 53 (Inc -> INC .)
    LPAREN          reduce using rule 53 (Inc -> INC .)
    NUMBER          reduce using rule 53 (Inc -> INC .)
    TRUE            reduce using rule 53 (Inc -> INC .)
    FALSE           reduce using rule 53 (Inc -> INC .)
    THIS            reduce using rule 53 (Inc -> INC .)
    SUPER           reduce using rule 53 (Inc -> INC .)
    INPUT           reduce using rule 53 (Inc -> INC .)
    NEW             reduce using rule 53 (Inc -> INC .)
    SEMICOLON       reduce using rule 53 (Inc -> INC .)
    TIMES           reduce using rule 53 (Inc -> INC .)
    SLASH           reduce using rule 53 (Inc -> INC .)
    PLUS            reduce using rule 53 (Inc -> INC .)
    MINUS           reduce using rule 53 (Inc -> INC .)
    LT              reduce using rule 53 (Inc -> INC .)
    EQ              reduce using rule 53 (Inc -> INC .)
    GT              reduce using rule 53 (Inc -> INC .)
    GTEQ            reduce using rule 53 (Inc -> INC .)
    LTEQ            reduce using rule 53 (Inc -> INC .)
    NEQ             reduce using rule 53 (Inc -> INC .)
    LAND            reduce using rule 53 (Inc -> INC .)
    LOR             reduce using rule 53 (Inc -> INC .)
    MOD             reduce using rule 53 (Inc -> INC .)
    DO              reduce using rule 53 (Inc -> INC .)
    RPAREN          reduce using rule 53 (Inc -> INC .)
    THEN            reduce using rule 53 (Inc -> INC .)
    COMMA           reduce using rule 53 (Inc -> INC .)
    RSQR            reduce using rule 53 (Inc -> INC .)


state 69

    (104) FieldAccess -> IDENTIFIER .

    LPAREN          reduce using rule 104 (FieldAccess -> IDENTIFIER .)
    DOT             reduce using rule 104 (FieldAccess -> IDENTIFIER .)
    LSQR            reduce using rule 104 (FieldAccess -> IDENTIFIER .)
    THEN            reduce using rule 104 (FieldAccess -> IDENTIFIER .)
    TIMES           reduce using rule 104 (FieldAccess -> IDENTIFIER .)
    SLASH           reduce using rule 104 (FieldAccess -> IDENTIFIER .)
    PLUS            reduce using rule 104 (FieldAccess -> IDENTIFIER .)
    MINUS           reduce using rule 104 (FieldAccess -> IDENTIFIER .)
    LT              reduce using rule 104 (FieldAccess -> IDENTIFIER .)
    EQ              reduce using rule 104 (FieldAccess -> IDENTIFIER .)
    GT              reduce using rule 104 (FieldAccess -> IDENTIFIER .)
    GTEQ            reduce using rule 104 (FieldAccess -> IDENTIFIER .)
    LTEQ            reduce using rule 104 (FieldAccess -> IDENTIFIER .)
    NEQ             reduce using rule 104 (FieldAccess -> IDENTIFIER .)
    LAND            reduce using rule 104 (FieldAccess -> IDENTIFIER .)
    LOR             reduce using rule 104 (FieldAccess -> IDENTIFIER .)
    MOD             reduce using rule 104 (FieldAccess -> IDENTIFIER .)
    EQUALS          reduce using rule 104 (FieldAccess -> IDENTIFIER .)
    INC             reduce using rule 104 (FieldAccess -> IDENTIFIER .)
    DEC             reduce using rule 104 (FieldAccess -> IDENTIFIER .)
    SEMICOLON       reduce using rule 104 (FieldAccess -> IDENTIFIER .)
    DO              reduce using rule 104 (FieldAccess -> IDENTIFIER .)
    RPAREN          reduce using rule 104 (FieldAccess -> IDENTIFIER .)
    COMMA           reduce using rule 104 (FieldAccess -> IDENTIFIER .)
    RSQR            reduce using rule 104 (FieldAccess -> IDENTIFIER .)


state 70

    (60) for -> FOR . LPAREN SEQ SEMICOLON AEQ SEMICOLON SEQ RPAREN Stmt

    LPAREN          shift and go to state 118


state 71

    (88) Primary -> false .

    DOT             reduce using rule 88 (Primary -> false .)
    LSQR            reduce using rule 88 (Primary -> false .)
    COMMA           reduce using rule 88 (Primary -> false .)
    TIMES           reduce using rule 88 (Primary -> false .)
    SLASH           reduce using rule 88 (Primary -> false .)
    PLUS            reduce using rule 88 (Primary -> false .)
    MINUS           reduce using rule 88 (Primary -> false .)
    LT              reduce using rule 88 (Primary -> false .)
    EQ              reduce using rule 88 (Primary -> false .)
    GT              reduce using rule 88 (Primary -> false .)
    GTEQ            reduce using rule 88 (Primary -> false .)
    LTEQ            reduce using rule 88 (Primary -> false .)
    NEQ             reduce using rule 88 (Primary -> false .)
    LAND            reduce using rule 88 (Primary -> false .)
    LOR             reduce using rule 88 (Primary -> false .)
    MOD             reduce using rule 88 (Primary -> false .)
    RPAREN          reduce using rule 88 (Primary -> false .)
    SEMICOLON       reduce using rule 88 (Primary -> false .)
    DO              reduce using rule 88 (Primary -> false .)
    THEN            reduce using rule 88 (Primary -> false .)
    RSQR            reduce using rule 88 (Primary -> false .)


state 72

    (41) Stmt -> While .

    CLASS           reduce using rule 41 (Stmt -> While .)
    INT             reduce using rule 41 (Stmt -> While .)
    BOOL            reduce using rule 41 (Stmt -> While .)
    VOID            reduce using rule 41 (Stmt -> While .)
    animal          reduce using rule 41 (Stmt -> While .)
    dog             reduce using rule 41 (Stmt -> While .)
    $end            reduce using rule 41 (Stmt -> While .)
    RCURLY          reduce using rule 41 (Stmt -> While .)
    WHILE           reduce using rule 41 (Stmt -> While .)
    PRINT           reduce using rule 41 (Stmt -> While .)
    LCURLY          reduce using rule 41 (Stmt -> While .)
    IF              reduce using rule 41 (Stmt -> While .)
    FOR             reduce using rule 41 (Stmt -> While .)
    DO              reduce using rule 41 (Stmt -> While .)
    RETURN          reduce using rule 41 (Stmt -> While .)
    INC             reduce using rule 41 (Stmt -> While .)
    DEC             reduce using rule 41 (Stmt -> While .)
    IDENTIFIER      reduce using rule 41 (Stmt -> While .)
    LPAREN          reduce using rule 41 (Stmt -> While .)
    NUMBER          reduce using rule 41 (Stmt -> While .)
    TRUE            reduce using rule 41 (Stmt -> While .)
    FALSE           reduce using rule 41 (Stmt -> While .)
    THIS            reduce using rule 41 (Stmt -> While .)
    SUPER           reduce using rule 41 (Stmt -> While .)
    INPUT           reduce using rule 41 (Stmt -> While .)
    NEW             reduce using rule 41 (Stmt -> While .)
    ELSE            reduce using rule 41 (Stmt -> While .)


state 73

    (47) Assign -> Lhs . EQUALS AE
    (48) Assign -> Lhs . Inc
    (49) Assign -> Lhs . Dec
    (53) Inc -> . INC
    (52) Dec -> . DEC

    EQUALS          shift and go to state 119
    INC             shift and go to state 68
    DEC             shift and go to state 62

    Dec                            shift and go to state 121
    Inc                            shift and go to state 120

state 74

    (92) Primary -> LPAREN . AE RPAREN
    (68) AE -> . AE TIMES AE
    (69) AE -> . AE SLASH AE
    (70) AE -> . AE PLUS AE
    (71) AE -> . AE MINUS AE
    (72) AE -> . AE LT AE
    (73) AE -> . AE EQ AE
    (74) AE -> . AE GT AE
    (75) AE -> . AE GTEQ AE
    (76) AE -> . AE LTEQ AE
    (77) AE -> . AE NEQ AE
    (78) AE -> . AE LAND AE
    (79) AE -> . AE LOR AE
    (80) AE -> . AE MOD AE
    (81) AE -> . MINUS AE
    (82) AE -> . NOT AE
    (83) AE -> . Primary
    (84) AE -> . SE
    (85) AE -> . NewArray
    (86) Primary -> . intconst
    (87) Primary -> . true
    (88) Primary -> . false
    (89) Primary -> . this
    (90) Primary -> . super
    (91) Primary -> . Input
    (92) Primary -> . LPAREN AE RPAREN
    (93) Primary -> . FieldAccess
    (94) Primary -> . ArrayAccess
    (95) Primary -> . NewObject
    (45) SE -> . Assign
    (46) SE -> . MethodCall
    (112) NewArray -> . NEW Type DimExpr Dimstar
    (96) intconst -> . NUMBER
    (97) true -> . TRUE
    (98) false -> . FALSE
    (99) this -> . THIS
    (100) super -> . SUPER
    (101) Input -> . INPUT LPAREN RPAREN
    (103) FieldAccess -> . Primary DOT IDENTIFIER
    (104) FieldAccess -> . IDENTIFIER
    (102) ArrayAccess -> . Primary LSQR AE RSQR
    (110) NewObject -> . NEW animal LPAREN RPAREN
    (111) NewObject -> . NEW dog LPAREN RPAREN
    (47) Assign -> . Lhs EQUALS AE
    (48) Assign -> . Lhs Inc
    (49) Assign -> . Lhs Dec
    (50) Assign -> . Inc Lhs
    (51) Assign -> . Dec Lhs
    (105) MethodCall -> . FieldAccess LPAREN ArgsQ RPAREN
    (66) Lhs -> . FieldAccess
    (67) Lhs -> . ArrayAccess
    (53) Inc -> . INC
    (52) Dec -> . DEC

    MINUS           shift and go to state 98
    NOT             shift and go to state 106
    LPAREN          shift and go to state 74
    NEW             shift and go to state 99
    NUMBER          shift and go to state 55
    TRUE            shift and go to state 89
    FALSE           shift and go to state 83
    THIS            shift and go to state 87
    SUPER           shift and go to state 91
    INPUT           shift and go to state 61
    IDENTIFIER      shift and go to state 69
    INC             shift and go to state 68
    DEC             shift and go to state 62

    false                          shift and go to state 71
    true                           shift and go to state 79
    Input                          shift and go to state 59
    MethodCall                     shift and go to state 63
    super                          shift and go to state 66
    NewArray                       shift and go to state 100
    AE                             shift and go to state 122
    Lhs                            shift and go to state 73
    intconst                       shift and go to state 75
    ArrayAccess                    shift and go to state 103
    Dec                            shift and go to state 78
    Assign                         shift and go to state 80
    this                           shift and go to state 84
    FieldAccess                    shift and go to state 104
    Primary                        shift and go to state 105
    NewObject                      shift and go to state 88
    SE                             shift and go to state 107
    Inc                            shift and go to state 90

state 75

    (86) Primary -> intconst .

    DOT             reduce using rule 86 (Primary -> intconst .)
    LSQR            reduce using rule 86 (Primary -> intconst .)
    COMMA           reduce using rule 86 (Primary -> intconst .)
    TIMES           reduce using rule 86 (Primary -> intconst .)
    SLASH           reduce using rule 86 (Primary -> intconst .)
    PLUS            reduce using rule 86 (Primary -> intconst .)
    MINUS           reduce using rule 86 (Primary -> intconst .)
    LT              reduce using rule 86 (Primary -> intconst .)
    EQ              reduce using rule 86 (Primary -> intconst .)
    GT              reduce using rule 86 (Primary -> intconst .)
    GTEQ            reduce using rule 86 (Primary -> intconst .)
    LTEQ            reduce using rule 86 (Primary -> intconst .)
    NEQ             reduce using rule 86 (Primary -> intconst .)
    LAND            reduce using rule 86 (Primary -> intconst .)
    LOR             reduce using rule 86 (Primary -> intconst .)
    MOD             reduce using rule 86 (Primary -> intconst .)
    RPAREN          reduce using rule 86 (Primary -> intconst .)
    SEMICOLON       reduce using rule 86 (Primary -> intconst .)
    DO              reduce using rule 86 (Primary -> intconst .)
    THEN            reduce using rule 86 (Primary -> intconst .)
    RSQR            reduce using rule 86 (Primary -> intconst .)


state 76

    (44) Stmt -> Return .

    CLASS           reduce using rule 44 (Stmt -> Return .)
    INT             reduce using rule 44 (Stmt -> Return .)
    BOOL            reduce using rule 44 (Stmt -> Return .)
    VOID            reduce using rule 44 (Stmt -> Return .)
    animal          reduce using rule 44 (Stmt -> Return .)
    dog             reduce using rule 44 (Stmt -> Return .)
    $end            reduce using rule 44 (Stmt -> Return .)
    RCURLY          reduce using rule 44 (Stmt -> Return .)
    WHILE           reduce using rule 44 (Stmt -> Return .)
    PRINT           reduce using rule 44 (Stmt -> Return .)
    LCURLY          reduce using rule 44 (Stmt -> Return .)
    IF              reduce using rule 44 (Stmt -> Return .)
    FOR             reduce using rule 44 (Stmt -> Return .)
    DO              reduce using rule 44 (Stmt -> Return .)
    RETURN          reduce using rule 44 (Stmt -> Return .)
    INC             reduce using rule 44 (Stmt -> Return .)
    DEC             reduce using rule 44 (Stmt -> Return .)
    IDENTIFIER      reduce using rule 44 (Stmt -> Return .)
    LPAREN          reduce using rule 44 (Stmt -> Return .)
    NUMBER          reduce using rule 44 (Stmt -> Return .)
    TRUE            reduce using rule 44 (Stmt -> Return .)
    FALSE           reduce using rule 44 (Stmt -> Return .)
    THIS            reduce using rule 44 (Stmt -> Return .)
    SUPER           reduce using rule 44 (Stmt -> Return .)
    INPUT           reduce using rule 44 (Stmt -> Return .)
    NEW             reduce using rule 44 (Stmt -> Return .)
    ELSE            reduce using rule 44 (Stmt -> Return .)


state 77

    (67) Lhs -> ArrayAccess .
    (94) Primary -> ArrayAccess .

    EQUALS          reduce using rule 67 (Lhs -> ArrayAccess .)
    INC             reduce using rule 67 (Lhs -> ArrayAccess .)
    DEC             reduce using rule 67 (Lhs -> ArrayAccess .)
    SEMICOLON       reduce using rule 67 (Lhs -> ArrayAccess .)
    TIMES           reduce using rule 67 (Lhs -> ArrayAccess .)
    SLASH           reduce using rule 67 (Lhs -> ArrayAccess .)
    PLUS            reduce using rule 67 (Lhs -> ArrayAccess .)
    MINUS           reduce using rule 67 (Lhs -> ArrayAccess .)
    LT              reduce using rule 67 (Lhs -> ArrayAccess .)
    EQ              reduce using rule 67 (Lhs -> ArrayAccess .)
    GT              reduce using rule 67 (Lhs -> ArrayAccess .)
    GTEQ            reduce using rule 67 (Lhs -> ArrayAccess .)
    LTEQ            reduce using rule 67 (Lhs -> ArrayAccess .)
    NEQ             reduce using rule 67 (Lhs -> ArrayAccess .)
    LAND            reduce using rule 67 (Lhs -> ArrayAccess .)
    LOR             reduce using rule 67 (Lhs -> ArrayAccess .)
    MOD             reduce using rule 67 (Lhs -> ArrayAccess .)
    DO              reduce using rule 67 (Lhs -> ArrayAccess .)
    RPAREN          reduce using rule 67 (Lhs -> ArrayAccess .)
    THEN            reduce using rule 67 (Lhs -> ArrayAccess .)
    COMMA           reduce using rule 67 (Lhs -> ArrayAccess .)
    RSQR            reduce using rule 67 (Lhs -> ArrayAccess .)
    DOT             reduce using rule 94 (Primary -> ArrayAccess .)
    LSQR            reduce using rule 94 (Primary -> ArrayAccess .)


state 78

    (51) Assign -> Dec . Lhs
    (66) Lhs -> . FieldAccess
    (67) Lhs -> . ArrayAccess
    (103) FieldAccess -> . Primary DOT IDENTIFIER
    (104) FieldAccess -> . IDENTIFIER
    (102) ArrayAccess -> . Primary LSQR AE RSQR
    (86) Primary -> . intconst
    (87) Primary -> . true
    (88) Primary -> . false
    (89) Primary -> . this
    (90) Primary -> . super
    (91) Primary -> . Input
    (92) Primary -> . LPAREN AE RPAREN
    (93) Primary -> . FieldAccess
    (94) Primary -> . ArrayAccess
    (95) Primary -> . NewObject
    (96) intconst -> . NUMBER
    (97) true -> . TRUE
    (98) false -> . FALSE
    (99) this -> . THIS
    (100) super -> . SUPER
    (101) Input -> . INPUT LPAREN RPAREN
    (110) NewObject -> . NEW animal LPAREN RPAREN
    (111) NewObject -> . NEW dog LPAREN RPAREN

    IDENTIFIER      shift and go to state 69
    LPAREN          shift and go to state 74
    NUMBER          shift and go to state 55
    TRUE            shift and go to state 89
    FALSE           shift and go to state 83
    THIS            shift and go to state 87
    SUPER           shift and go to state 91
    INPUT           shift and go to state 61
    NEW             shift and go to state 64

    super                          shift and go to state 66
    this                           shift and go to state 84
    FieldAccess                    shift and go to state 124
    Primary                        shift and go to state 86
    Lhs                            shift and go to state 123
    NewObject                      shift and go to state 88
    Input                          shift and go to state 59
    intconst                       shift and go to state 75
    false                          shift and go to state 71
    ArrayAccess                    shift and go to state 77
    true                           shift and go to state 79

state 79

    (87) Primary -> true .

    DOT             reduce using rule 87 (Primary -> true .)
    LSQR            reduce using rule 87 (Primary -> true .)
    COMMA           reduce using rule 87 (Primary -> true .)
    TIMES           reduce using rule 87 (Primary -> true .)
    SLASH           reduce using rule 87 (Primary -> true .)
    PLUS            reduce using rule 87 (Primary -> true .)
    MINUS           reduce using rule 87 (Primary -> true .)
    LT              reduce using rule 87 (Primary -> true .)
    EQ              reduce using rule 87 (Primary -> true .)
    GT              reduce using rule 87 (Primary -> true .)
    GTEQ            reduce using rule 87 (Primary -> true .)
    LTEQ            reduce using rule 87 (Primary -> true .)
    NEQ             reduce using rule 87 (Primary -> true .)
    LAND            reduce using rule 87 (Primary -> true .)
    LOR             reduce using rule 87 (Primary -> true .)
    MOD             reduce using rule 87 (Primary -> true .)
    RPAREN          reduce using rule 87 (Primary -> true .)
    SEMICOLON       reduce using rule 87 (Primary -> true .)
    DO              reduce using rule 87 (Primary -> true .)
    THEN            reduce using rule 87 (Primary -> true .)
    RSQR            reduce using rule 87 (Primary -> true .)


state 80

    (45) SE -> Assign .

    TIMES           reduce using rule 45 (SE -> Assign .)
    SLASH           reduce using rule 45 (SE -> Assign .)
